qacc,sacc,qlen,length,pident,qstart,qend,sstart,send,evalue,bitscore,alignment_coverage
ccdB_2~~~ccdB~~~ccdB_1,DADYHI010000030,348,348,99.713,1,348,15433,15087,2.6499999999999997e-176,620.0,1.0
ccpA_1~~~ccpA_3,NZ_JAFLNR010000002,987,986,75.152,1,986,274747,273762,0.0,674.0,0.9989868287740629
cdhR_1~~~cdhR~~~xylR~~~cdhR_2,SRR13684777.contig00032,972,972,100.0,1,972,43661,44632,0.0,1754.0,1.0
cdhR_2~~~rhaR_5~~~cdhR~~~rhaS_9~~~cdhR_1,NZ_CP046786,1011,1012,99.407,1,1011,693656,692646,0.0,1792.0,1.0009891196834817
cdr,NZ_KK020569,1614,1614,100.0,1,1614,497132,495519,0.0,2911.0,1.0
cdr_2~~~cdr_1~~~cdr_3,VP06050.contig00001,1704,1694,90.791,1,1694,504908,503215,0.0,2352.0,0.994131455399061
cdr_2~~~cdr_1~~~cdr_3~~~cdr~~~nasD_3~~~cdr_4,SRR18762455.contig00001,1725,1725,99.536,1,1725,954559,956283,0.0,3076.0,1.0
cdr_2~~~cdr_3~~~cdr_1~~~cdr,SRR4016801.contig00007,1704,1695,80.295,1,1695,95644,93950,0.0,1552.0,0.9947183098591549
chuR_1~~~chuR_2~~~chuR_3,SPVP170162.contig00004,1269,1269,99.842,1,1269,433091,434359,0.0,2280.0,1.0
chuR_2~~~chuR_3,NZ_CP046786,1272,1272,99.057,1,1272,736944,738215,0.0,2241.0,1.0
chuR_2~~~chuR_3~~~chuR_4~~~chuR_1~~~chuR_5,SPVP150085.contig00001,1344,1344,98.958,1,1344,330910,332253,0.0,2361.0,1.0
chuR_5~~~chuR_3,SRR16324073.contig00020,1233,1233,97.972,1,1233,8378,7146,0.0,2112.0,1.0
citA,SPVP140107.contig00001,1656,1656,99.94,1,1656,765498,767153,0.0,2983.0,1.0
citC,VP06050.contig00025,1095,1095,94.886,1,1095,15008,13956,0.0,1756.0,1.0
citD,SPVP140285.contig00010,297,297,100.0,1,297,232282,231986,2.09e-151,536.0,1.0
citE,SPVP140107.contig00001,876,876,100.0,1,876,758924,758049,0.0,1581.0,1.0
citF,SPVP140107.contig00001,1518,1518,99.802,1,1518,758039,756522,0.0,2725.0,1.0
citG,SPVP140107.contig00001,960,960,100.0,1,960,756008,755049,0.0,1732.0,1.0
citS_2~~~citS_1~~~citS,SPVP140107.contig00001,1347,1347,99.926,1,1347,760579,761925,0.0,2425.0,1.0
citX,DADYHI010000001,537,537,98.696,1,537,88574,89110,0.0,938.0,1.0
clpV1_2,SRR18762455.contig00002,2607,2607,98.849,1,2607,364053,361447,0.0,4567.0,1.0
clpV1_4~~~clpV1~~~clpV1_3~~~clpV1_2~~~clpV1_1,SRR18762455.contig00006,2712,2724,99.156,1,2712,218960,221683,0.0,4816.0,1.0044247787610618
clsC_2~~~clsC_1,SRR16324073.contig00006,1452,1452,92.218,1,1452,9031,7580,0.0,2110.0,1.0
cmoA_2,NZ_JABCBN010000036,603,603,96.683,1,603,4181,4783,0.0,998.0,1.0
cmoM_2~~~cmoM_1,SRR18762455.contig00009,1719,1719,100.0,1,1719,24436,22718,0.0,3101.0,1.0
cnbH~~~QRSL1,SRR18034811.contig00001,1248,1248,100.0,1,1248,773367,774614,0.0,2251.0,1.0
coaD,SRR13684777.contig00016,488,488,98.975,1,488,109044,108559,0.0,851.0,1.0
coaD~~~coaD_1~~~coaD_2,SPVP140285.contig00003,576,576,99.826,1,576,179017,179592,0.0,1035.0,1.0
cpoB_1~~~cpoB_2,SRR18762455.contig00002,483,483,96.894,1,483,303805,304287,0.0,804.0,1.0
cpxA_2~~~sasA_6~~~cpxA_1~~~sasA_4~~~sasA_7,SRR11823746.contig00004,1323,1323,100.0,1,1323,583705,585027,0.0,2387.0,1.0
cqsS_2~~~cqsS_5~~~cqsS_1~~~cqsS,SPVP140260.contig00002,1965,1965,99.695,1,1965,222199,220236,0.0,3514.0,1.0
cqsS~~~cqsS_3~~~cqsS_2,NZ_JACBSZ010000012,2073,2073,97.829,1,2073,130587,132635,0.0,3553.0,1.0
crfC~~~era_2,SPVP150169.contig00024,2409,2409,97.717,1,2409,31650,34058,0.0,4097.0,1.0
csaA~~~csaA_2,SPVP150169.contig00027,344,344,100.0,1,344,13517,13860,7.51e-177,621.0,1.0
csdE,VP15198.contig00007,432,432,99.769,1,432,39564,39133,0.0,775.0,1.0
csgA~~~hcaB~~~csgA_1,JACVHJ010000016.1,693,693,88.312,1,693,53292,53984,0.0,885.0,1.0
csgD_4~~~malT_3~~~csgD_2~~~csgD~~~malT_4,NZ_CP051099,645,645,100.0,1,645,561506,562150,0.0,1164.0,1.0
cspG_1,SRR13684777.contig00052,214,214,99.065,1,214,6845,6633,1.05e-102,374.0,1.0
cspG_4~~~cspG_2,SPVP170146.contig00052,219,219,95.434,1,219,1744,1526,1.23e-95,351.0,1.0
cspG_4~~~cspG_2~~~cspG_3~~~cspG_1,SPVP170146.contig00029,210,210,100.0,1,210,8145,8354,2.4099999999999997e-104,379.0,1.0
cspG_5~~~cspG_3,VP06050.contig00001,213,213,93.897,1,213,499932,500144,4.73e-88,326.0,1.0
cspV_1~~~cspV_2,NZ_KK020625,564,564,100.0,1,564,165787,165224,0.0,1018.0,1.0
csy2,NZ_JACBSZ010000001,897,902,91.463,1,897,592219,591319,0.0,1272.0,1.0055741360089185
csy3,SRR18762455.contig00002,1038,1040,90.481,1,1038,111963,113000,0.0,1425.0,1.001926782273603
csy3_1~~~csy3,SPVP140285.contig00010,1032,1032,95.543,1,1032,137577,136546,0.0,1654.0,1.0
csy3_2~~~csy3,VP07269.contig00002,1047,1051,81.541,1,1047,533995,532952,0.0,1004.0,1.0038204393505252
cueR_2~~~cueR_3,NZ_CP046786,546,546,96.337,1,546,1677252,1676727,0.0,909.0,1.0
cugP,SPVP170162.contig00003,1059,1059,99.433,1,1059,377312,376254,0.0,1884.0,1.0
cugP~~~cugP_2,SRR19641559.contig00005,1068,1066,84.615,1,1066,273492,272427,0.0,1184.0,0.99812734082397
cycB,SRR18609788.contig00024,1236,1236,100.0,1,1236,14802,13567,0.0,2230.0,1.0
cysC_2~~~cysC_1,NZ_JABCIE010000008,659,536,99.254,1,536,23517,24052,0.0,949.0,0.8133535660091047
cysD_1,NZ_JABCFE010000004,915,915,100.0,1,915,348288,349202,0.0,1651.0,1.0
cysE_1~~~cysE_2,SPVP150139.contig00005,486,486,100.0,1,486,414692,414207,0.0,877.0,1.0
cysE_2~~~dapH~~~dapH_2,SPVP150139.contig00005,498,498,100.0,1,498,415918,415421,0.0,899.0,1.0
cysN_1,VP11139.contig00002,1410,1410,100.0,1,1410,349649,351058,0.0,2544.0,1.0
cytR_2~~~cytR_1,SPVP170146.contig00006,1122,1122,99.822,1,1122,173725,172604,0.0,2015.0,1.0
czcA_5~~~swrC~~~mdtC~~~cnrA_2~~~mdtB,SRR13684777.contig00032,3045,3045,100.0,1,3045,48688,51732,0.0,5492.0,1.0
dam,NZ_NNHO01000034,810,810,100.0,1,810,20353,19544,0.0,1462.0,1.0
dam_2~~~dam~~~dam_1,VP07269.contig00021,840,840,99.762,1,840,32022,32861,0.0,1507.0,1.0
dapE_1~~~dapE_2,SRR11823746.contig00017,1524,1524,100.0,1,1524,48303,49826,0.0,2749.0,1.0
dapH,VP07003.contig00003,546,546,100.0,1,546,203871,204416,0.0,985.0,1.0
dapH~~~lacA_1,SPVP170146.contig00004,606,606,99.835,1,606,36606,37211,0.0,1089.0,1.0
dapb3~~~dapb3_1~~~dapb3_2,NZ_JAFLNR010000003,1923,1923,99.064,1,1923,391448,389526,0.0,3388.0,1.0
dbpA_2~~~dbpA_1,JACVHT010000001.1,2196,2196,99.727,1,2196,1233772,1231583,0.0,3935.0,1.0
dcm~~~dcm_2~~~dcm_1,NZ_BAVK01000003,1707,1385,68.087,274,1650,10017,11381,2.0699999999999998e-135,486.0,0.8113649677797306
dctM_3~~~dctM_2~~~dctM_1,NZ_NNHO01000003,1302,1302,99.846,1,1302,271392,272693,0.0,2340.0,1.0
ddl_2,SRR18762455.contig00002,1155,1155,96.45,1,1155,361302,360148,0.0,1899.0,1.0
ddpC,SRR18763195.contig00013,894,894,97.539,1,894,55789,56661,0.0,1528.0,1.0
decR,NZ_JAFLNR010000031,513,514,99.611,1,513,7422,7935,0.0,915.0,1.0019493177387915
def2_2~~~def~~~def2_1,NZ_CP051100,504,504,93.849,1,504,3299545,3300048,0.0,770.0,1.0
deoD3,SPVP140107.contig00002,708,708,100.0,1,708,469056,469763,0.0,1278.0,1.0
dgcM_2,SRR18609788.contig00032,1533,1533,98.63,1,1533,6304,7836,0.0,2671.0,1.0
dgcZ~~~dgcC,SPVP140259.contig00002,633,633,89.415,1,633,638382,639014,0.0,840.0,1.0
dgkA_2,NZ_JABCCB010000005,396,396,99.747,1,396,197497,197102,0.0,710.0,1.0
dgkA_2~~~dgkA_1,SPVP140212.contig00009,417,417,97.842,1,417,184115,184522,0.0,716.0,1.0
dgkA_2~~~dgkA_3,AAXOXW010000034,381,381,100.0,1,381,12044,12424,0.0,688.0,1.0
dgt_1~~~dgt_2~~~dgt_3,SPVP140090.contig00005,1467,1467,100.0,1,1467,3801,2335,0.0,2646.0,1.0
dhaD~~~dhaD_1,NZ_NNHO01000002,1077,1077,94.708,1,1077,17824,16748,0.0,1686.0,1.0
dhaK_1~~~dhaK,VP10022.contig00003,1110,1111,99.73,1,1110,215951,214841,0.0,1987.0,1.000900900900901
dhaL~~~dhaL_2,AAXNRW010000003,1710,1711,99.532,1,1710,374128,375837,0.0,3043.0,1.0005847953216374
dhaM~~~ptsI_2~~~ptsI_1,SPVP140090.contig00003,2400,2400,96.708,1,2400,213771,211372,0.0,3973.0,1.0
dhaR~~~dhaR_1~~~dhaR_2,SRR18763195.contig00005,1947,1946,99.383,2,1947,190479,192424,0.0,3456.0,0.9994863893168978
dhmA~~~mhpC~~~ephA~~~menH_4,NZ_LFYN01000033,858,858,98.135,1,858,3446,4303,0.0,1476.0,1.0
dinB_2~~~dinB_1~~~dinB,JAJGNV010000004.1,1062,1009,70.862,8,1016,189168,188160,2.46e-138,495.0,0.9500941619585688
dinG_2~~~dinG_4~~~dinG_1~~~polC_2~~~polC_1~~~polC_4~~~polC_5~~~dinG_3,VP11139.contig00003,711,711,98.031,1,711,385102,384392,0.0,1220.0,1.0
dinG_4~~~dinG_5~~~dinG_2,NZ_NNHO01000001,624,624,92.628,1,624,843066,843689,0.0,919.0,1.0
dld_1~~~dld_2,SPVP140212.contig00002,1707,1707,96.837,1,1707,519417,521123,0.0,2836.0,1.0
dltC,VP07269.contig00003,228,228,97.368,1,228,171343,171570,6.219999999999999e-106,385.0,1.0
dmlR_10~~~dmlR_3~~~dmlR_4,VP06050.contig00001,903,903,95.681,1,903,485884,486786,0.0,1453.0,1.0
dmlR_2~~~oxyR_5~~~oxyR_1~~~dmlR_1~~~dmlR_13~~~oxyR_4~~~oxyR_2,NZ_CP046786,840,840,100.0,1,840,496473,495634,0.0,1516.0,1.0
dmlR_3~~~dmlR_8~~~dmlR_12,SRR16324073.contig00003,882,882,94.785,1,882,553029,553910,0.0,1384.0,1.0
dmlR_4~~~dmlR_14~~~dmlR_6~~~dmlR_11~~~dmlR_3,NZ_JAFLNR010000034,912,912,92.873,1,912,5007,4096,0.0,1352.0,1.0
dnaG_1,JAJGNV010000002.1,1644,1648,81.129,1,1644,228280,226646,0.0,1568.0,1.002433090024331
dpiA_1,SPVP140107.contig00001,681,681,100.0,1,681,767140,767820,0.0,1229.0,1.0
dpnA_1~~~dpnA,NZ_NNHO01000034,657,657,99.696,1,657,19527,18871,0.0,1177.0,1.0
dpnA~~~yhdJ~~~yhdJ_2,VP11139.contig00007,696,696,95.402,1,696,323453,322758,0.0,1112.0,1.0
dprE1_1~~~dprE1_2~~~dprE1,JADQEE010000007.1,1284,1284,99.844,1,1284,175766,177049,0.0,2307.0,1.0
dprE2,SPVP140285.contig00003,738,738,99.864,1,738,193343,194080,0.0,1327.0,1.0
dsbC_2,ABDZFE010000011,693,693,97.403,1,693,26159,25467,0.0,1169.0,1.0
dsdC_2~~~dsdC~~~hdfR_10~~~dsdC_1~~~hdfR_7~~~dsdC_3,SPVP150169.contig00002,966,966,98.24,1,966,195443,196408,0.0,1666.0,1.0
dthadh,SRR13684777.contig00052,1152,1152,97.309,1,1152,11692,10541,0.0,1939.0,1.0
eamB,NZ_JNSU02000016,585,583,95.026,1,583,46443,47025,0.0,921.0,0.9965811965811966
eda_2~~~eda_3~~~eda_4~~~eda_1,NZ_JACBSZ010000002,624,624,99.84,1,624,590599,591222,0.0,1122.0,1.0
eda_4~~~eda_2~~~eda_3~~~eda_1,NZ_NNHO01000003,651,651,98.771,1,651,276624,277274,0.0,1139.0,1.0
ehpR_1~~~ehpR_2,SRR18034811.contig00002,363,363,96.419,1,363,354986,354624,3.1700000000000003e-169,597.0,1.0
eltD_1~~~eltD_2~~~ydjJ~~~tdh_2,NZ_JACBSZ010000001,1038,1036,93.05,1,1036,647548,648583,0.0,1544.0,0.9980732177263969
emrA_2~~~emrK~~~emrA_1~~~emrK_2,VP10022.contig00010,1014,1014,99.803,1,1014,9315,10328,0.0,1820.0,1.0
epsE_2,SPVP150045.contig00004,879,879,97.838,1,879,324711,323833,0.0,1500.0,1.0
epsF_2,NZ_JABCBN010000003,1203,1203,100.0,1,1203,198849,200051,0.0,2170.0,1.0
epsL_1~~~epsL_2,VP10022.contig00003,636,615,97.236,22,636,332991,332377,0.0,1033.0,0.9669811320754716
epsL_2~~~epsL_1~~~epsL~~~pssY,JADQEE010000007.1,549,549,77.413,1,549,212655,213203,1.24e-119,432.0,1.0
epsM_1~~~epsM_2,NZ_NNKS01000228,678,633,99.684,1,633,6286,5654,0.0,1133.0,0.9336283185840708
epsM_1~~~epsM_3,NZ_CP051100,633,633,91.311,1,633,1682049,1681417,0.0,894.0,1.0
epsM_2,VP07269.contig00003,645,645,99.535,1,645,174475,175118,0.0,1147.0,1.0
epsM_2~~~epsM_1,VP10022.contig00003,654,654,95.107,1,654,375000,374347,0.0,1036.0,1.0
epsM_2~~~epsM_1~~~epsM_3,SPVP170049.contig00006,633,633,96.84,1,633,317186,316554,0.0,1052.0,1.0
epsM_3~~~epsM_2,VP07003.contig00003,654,654,80.428,1,654,194628,195281,3.99e-171,603.0,1.0
epsN~~~pglE~~~per~~~arnB,SRR19641559.contig00005,1164,1164,99.914,1,1164,277608,276445,0.0,2095.0,1.0
eptA_2~~~eptA_3~~~eptA_1,AAXOXW010000034,1695,1695,97.168,1,1695,10389,12038,0.0,2877.0,1.0
era_1~~~era_2,SPVP170146.contig00010,1623,1623,99.754,1,1623,206414,204792,0.0,2910.0,1.0
esiB,NZ_JNSU02000016,1029,1036,98.069,1,1029,57899,56864,0.0,1781.0,1.0068027210884354
essD,SPVP170102.contig00017,933,933,98.178,1,933,2838,3770,0.0,1607.0,1.0
fabG_1~~~fabG_3,VP07269.contig00003,741,741,99.325,1,741,172863,173603,0.0,1315.0,1.0
fabG_2~~~fabG_6~~~fabG_5,NZ_JAFLNR010000004,744,742,99.73,1,742,119731,118990,0.0,1330.0,0.9973118279569892
fabG_6,SPVP150085.contig00017,702,702,93.59,1,702,10225,9560,0.0,1092.0,1.0
fabH,VP07269.contig00003,1068,1068,99.438,1,1068,171574,172641,0.0,1900.0,1.0
fcl,SPVP170102.contig00004,999,989,92.72,11,999,319217,318229,0.0,1460.0,0.98998998998999
fdtA,SPVP140260.contig00004,429,429,100.0,1,429,174047,173619,0.0,774.0,1.0
fdtA~~~fdtA_1,SRR17888663.contig00002,420,420,100.0,1,420,169707,170126,0.0,758.0,1.0
fdtA~~~fdtA_2,NZ_JABCBH010000002,411,362,81.215,14,375,201294,201655,2.99e-94,347.0,0.8807785888077859
fdtB_2~~~fdtB~~~fdtB_1~~~phaJ_1~~~phaJ_2~~~phaJ,DADYHI010000002,1509,1510,99.934,1,1509,364051,362542,0.0,2716.0,1.0006626905235254
fdtC,SRR17888663.contig00002,471,471,100.0,1,471,170104,170574,0.0,850.0,1.0
fimA_1,SPVP170146.contig00012,438,438,98.402,1,438,95023,94592,0.0,760.0,1.0
fis_2,DADYHI010000030,291,291,99.656,1,291,11844,12133,1.91e-145,517.0,1.0
