qacc,sacc,qlen,length,pident,qstart,qend,sstart,send,evalue,bitscore,alignment_coverage
axeA1,NC_004605,934,934,97.43,1,934,71323,72256,0.0,1577.0,1.0
bcp_2~~~bcp_3~~~bcp_1,NC_004603,465,410,67.805,46,455,2384539,2384948,3.4700000000000003e-35,145.0,0.8817204301075269
benM_2~~~benM_1,NC_004603,900,894,91.275,1,894,1452962,1453855,0.0,1261.0,0.9933333333333333
benM~~~hdfR_3~~~hdfR_8~~~hdfR_9~~~hdfR_6,NC_004603,936,941,96.706,1,936,75482,76422,0.0,1553.0,1.0053418803418803
bepC_3,NC_004605,1320,1320,99.47,1,1320,995564,996877,0.0,2351.0,1.0
bltD_3,NC_004603,555,555,88.108,1,555,1928044,1927490,0.0,704.0,1.0
btuB_1~~~btuB_2~~~btuB_3,NC_004603,2610,2614,83.282,1,2610,182655,180055,0.0,2733.0,1.0015325670498085
btuB_2~~~btuB_1~~~btuB_4~~~btuB_3,NC_004603,1875,1857,97.523,19,1875,3142876,3141020,0.0,3142.0,0.9904
btuD_1~~~cysA~~~cysA_2~~~btuD_4~~~btuD_8~~~btuD_10~~~cysA_3~~~malK_1~~~btuD_3~~~potA_2,NC_004605,2403,2403,98.002,1,2403,242663,245063,0.0,4111.0,1.0
cdhR_2~~~rhaR_5~~~cdhR~~~rhaS_9~~~cdhR_1,NC_004605,1011,1012,98.715,1,1011,747659,748670,0.0,1764.0,1.0009891196834817
cdr,NC_004605,1614,1595,98.056,1,1595,982210,983804,0.0,2737.0,0.9882280049566295
cdr_2~~~cdr_1~~~cdr_3,NC_004605,1704,1685,81.721,1,1685,982120,983804,0.0,1651.0,0.988849765258216
cdr_2~~~cdr_1~~~cdr_3~~~cdr~~~nasD_3~~~cdr_4,NC_004605,1725,1685,98.694,1,1685,982120,983804,0.0,2940.0,0.9768115942028985
cdr_2~~~cdr_3~~~cdr_1~~~cdr,NC_004605,1704,1691,78.06,1,1686,982120,983805,0.0,1360.0,0.9923708920187794
chuR_2~~~chuR_3~~~chuR_4~~~chuR_1~~~chuR_5,NC_004605,1344,1344,98.884,1,1344,603892,602549,0.0,2357.0,1.0
chuR_5~~~chuR_3,NC_004605,1233,1226,73.736,5,1220,603894,602673,0.0,728.0,0.9943227899432279
clpV1_4~~~clpV1~~~clpV1_3~~~clpV1_2~~~clpV1_1,NC_004603,2712,2712,97.751,1,2712,1495555,1492844,0.0,4617.0,1.0
cmoM_2~~~cmoM_1,NC_004603,1719,1719,97.789,1,1719,912766,914481,0.0,2928.0,1.0
coaD,NC_004603,488,433,66.975,11,442,201821,202251,3.4200000000000003e-29,126.0,0.8872950819672131
coaD~~~coaD_1~~~coaD_2,NC_004603,576,576,99.132,1,576,201818,202393,0.0,1017.0,1.0
cqsS_2~~~cqsS_5~~~cqsS_1~~~cqsS,NC_004605,1965,1965,98.575,1,1965,736298,738261,0.0,3415.0,1.0
cqsS~~~cqsS_3~~~cqsS_2,NC_004605,2073,2073,97.395,1,2073,736298,738346,0.0,3513.0,1.0
csaA~~~csaA_2,NC_004603,344,344,98.547,1,344,1915102,1914764,1.39e-171,599.0,1.0
csdE,NC_004603,432,432,99.769,1,432,2476551,2476120,0.0,775.0,1.0
csgD_4~~~malT_3~~~csgD_2~~~csgD~~~malT_4,NC_004605,645,645,90.853,1,645,1539971,1539327,0.0,898.0,1.0
cspG_1,NC_004603,214,197,71.574,1,193,1971411,1971602,8.33e-20,94.2,0.9205607476635514
cspG_4~~~cspG_2,NC_004605,219,187,74.332,15,201,1368577,1368763,1.76e-28,122.0,0.8538812785388128
cspG_4~~~cspG_2~~~cspG_3~~~cspG_1,NC_004603,210,194,73.711,1,190,1971411,1971603,3.04e-25,112.0,0.9238095238095239
cspG_5~~~cspG_3,NC_004603,213,215,78.605,1,213,1971411,1971623,8.84e-45,176.0,1.0093896713615023
csy3_2~~~csy3,NC_004605,1047,1051,81.446,1,1047,1459776,1460819,0.0,1000.0,1.0038204393505252
cueR_2~~~cueR_3,NC_004605,546,546,96.154,1,546,1660346,1660871,0.0,904.0,1.0
cugP,NC_004603,1059,1050,73.81,1,1050,212564,213613,0.0,655.0,0.9915014164305949
cysD_1,NC_004603,915,901,73.585,17,914,289279,290176,9.07e-154,540.0,0.9846994535519126
cytR_2~~~cytR_1,NC_004603,1122,1122,98.93,1,1122,2513178,2514299,0.0,1970.0,1.0
dam_2~~~dam~~~dam_1,NC_004603,840,840,100.0,1,840,2906582,2905743,0.0,1516.0,1.0
dapE_1~~~dapE_2,NC_004603,1524,1520,92.632,1,1520,1450376,1451895,0.0,2237.0,0.9973753280839895
dctM_3~~~dctM_2~~~dctM_1,NC_004605,1302,1302,100.0,1,1302,1822695,1823996,0.0,2349.0,1.0
decR,NC_004603,513,499,97.595,16,513,986391,986889,0.0,843.0,0.9727095516569201
def2_2~~~def~~~def2_1,NC_004605,504,499,74.749,1,497,813501,813997,5.6e-90,327.0,0.9900793650793651
dgkA_2~~~dgkA_1,NC_004603,417,417,96.403,1,417,206021,206428,0.0,689.0,1.0
dhaK_1~~~dhaK,NC_004603,1110,1111,99.19,1,1110,362209,363319,0.0,1960.0,1.000900900900901
dhaL~~~dhaL_2,NC_004603,1710,1711,99.182,1,1710,362209,363918,0.0,3016.0,1.0005847953216374
dhaM~~~ptsI_2~~~ptsI_1,NC_004603,2400,2400,96.333,1,2400,363920,366319,0.0,3932.0,1.0
dhaR~~~dhaR_1~~~dhaR_2,NC_004603,1947,1946,98.201,2,1947,368342,366397,0.0,3352.0,0.9994863893168978
dinG_2~~~dinG_4~~~dinG_1~~~polC_2~~~polC_1~~~polC_4~~~polC_5~~~dinG_3,NC_004605,711,711,97.328,1,711,65945,65235,0.0,1197.0,1.0
dld_1~~~dld_2,NC_004605,1707,1690,73.254,19,1705,1059445,1057759,0.0,994.0,0.9900410076157
dmlR_2~~~oxyR_5~~~oxyR_1~~~dmlR_1~~~dmlR_13~~~oxyR_4~~~oxyR_2,NC_004605,840,893,92.945,1,840,946757,947649,0.0,1366.0,1.063095238095238
dpnA_1~~~dpnA,NC_004603,657,563,70.693,21,581,392741,393301,2.12e-71,267.0,0.8569254185692542
dpnA~~~yhdJ~~~yhdJ_2,NC_004603,696,696,97.27,1,696,392685,393380,0.0,1170.0,1.0
dsdC_2~~~dsdC~~~hdfR_10~~~dsdC_1~~~hdfR_7~~~dsdC_3,NC_004605,966,966,95.031,1,966,1812972,1812007,0.0,1526.0,1.0
eda_2~~~eda_3~~~eda_4~~~eda_1,NC_004605,624,624,100.0,1,624,73274,73897,0.0,1126.0,1.0
eda_4~~~eda_2~~~eda_3~~~eda_1,NC_004605,651,651,96.16,1,651,1827927,1828577,0.0,1062.0,1.0
epsL_1~~~epsL_2,NC_004603,636,557,73.788,34,590,244024,244580,7.62e-96,347.0,0.8757861635220126
epsM_1~~~epsM_2,NC_004603,678,633,99.842,1,633,211888,212520,0.0,1138.0,0.9336283185840708
epsN~~~pglE~~~per~~~arnB,NC_004603,1164,1164,98.797,1,1164,208441,209604,0.0,2037.0,1.0
fabG_6,NC_004603,702,702,93.162,1,702,2791261,2790596,0.0,1078.0,1.0
fimA_1,NC_004603,438,438,97.717,1,438,687623,687192,0.0,746.0,1.0
galE_2~~~galE_3~~~galE_1,NC_004603,1020,1014,87.968,6,1019,2518772,2517759,0.0,1279.0,0.9941176470588236
galK_2~~~galK_1,NC_004603,1164,1162,81.239,1,1161,2516511,2515350,0.0,1110.0,0.9982817869415808
galT_2~~~galT_1~~~galT_3,NC_004603,1053,1047,84.241,1,1047,2517673,2516627,0.0,1145.0,0.9943019943019943
gfcB,NC_004603,681,665,68.12,22,681,229361,228708,1.22e-55,214.0,0.9765051395007343
gldA~~~dhaD_1~~~dhaD~~~dhaD_2,NC_004603,1083,1083,100.0,1,1083,361855,360773,0.0,1954.0,1.0
group_10025,NC_004605,579,579,86.183,1,579,1431972,1431400,0.0,681.0,1.0
group_10037,NC_004605,312,312,95.192,1,312,942895,942584,1.1e-140,496.0,1.0
group_10063,NC_004603,267,267,100.0,1,267,1679942,1680208,5.849999999999999e-137,482.0,1.0
group_10072,NC_004603,1584,1580,96.962,5,1584,2247445,2249024,0.0,2634.0,0.9974747474747475
group_10073,NC_004603,543,543,92.265,1,543,1928044,1927502,0.0,791.0,1.0
group_10101,NC_004605,534,534,93.258,1,534,1437776,1437243,0.0,801.0,1.0
group_10126,NC_004603,522,522,91.762,1,522,1936748,1936227,0.0,748.0,1.0
group_10147,NC_004605,1521,1512,99.471,10,1521,300613,302124,0.0,2691.0,0.9940828402366864
group_10152,NC_004603,1128,1129,85.474,1,1117,1485278,1486394,0.0,1274.0,1.000886524822695
group_10212,NC_004605,285,285,92.281,1,285,1849218,1849502,7.670000000000001e-117,416.0,1.0
group_10286,NC_004603,1224,1143,71.041,86,1224,176157,175019,4.56e-159,559.0,0.9338235294117647
group_10291,NC_004603,477,427,77.049,1,425,2880939,2881362,3.33e-86,315.0,0.8951781970649895
group_10307,NC_004605,3180,3180,98.805,1,3180,744435,747612,0.0,5557.0,1.0
group_10344,NC_004605,145,145,99.31,1,145,1040885,1041028,2.6e-68,254.0,1.0
group_10390,NC_004605,1200,1200,100.0,1,1200,753713,754912,0.0,2165.0,1.0
group_10410,NC_004603,228,228,85.088,1,228,1670341,1670114,1.0199999999999999e-69,259.0,1.0
group_10461,NC_004603,1215,1214,77.842,1,1214,176233,175020,0.0,977.0,0.9991769547325103
group_10462,NC_004603,486,484,91.736,1,484,1498640,1499123,0.0,693.0,0.9958847736625515
group_10463,NC_004605,264,245,66.939,1,245,945575,945819,8.08e-15,77.9,0.928030303030303
group_10472,NC_004605,297,297,97.306,1,297,945239,944943,2.4499999999999998e-142,500.0,1.0
group_10478,NC_004603,732,733,99.591,1,732,1818410,1817678,0.0,1306.0,1.0013661202185793
group_10479,NC_004603,96,84,95.238,15,96,1818581,1818664,1.28e-31,132.0,0.875
group_10494,NC_004603,255,255,89.804,1,255,2256166,2255912,3.52e-95,343.0,1.0
group_10558,NC_004605,273,273,98.535,1,273,1374301,1374029,8.899999999999999e-135,475.0,1.0
group_10563,NC_004603,1128,1128,97.252,1,1128,2527875,2529002,0.0,1895.0,1.0
group_10591,NC_004603,630,630,95.397,1,630,1125582,1126211,0.0,1006.0,1.0
group_10605,NC_004605,756,756,87.434,1,756,751162,751914,0.0,934.0,1.0
group_10637,NC_004603,804,777,95.495,1,777,204059,203283,0.0,1244.0,0.9664179104477612
group_10659,NC_004605,1491,1491,97.384,1,1491,1381966,1380488,0.0,2520.0,1.0
group_10692,NC_004603,141,141,99.291,1,141,59097,58957,3.0599999999999996e-67,251.0,1.0
group_10725,NC_004605,762,762,95.013,1,762,1407155,1407916,0.0,1204.0,1.0
group_10731,NC_004603,219,220,97.727,1,219,1970504,1970285,2.14e-103,371.0,1.004566210045662
group_10740,NC_004605,566,566,99.647,1,566,638095,638659,0.0,1009.0,1.0
group_10742,NC_004603,1344,1366,97.657,1,1344,1499195,1500560,0.0,2335.0,1.0163690476190477
group_10752,NC_004605,513,513,97.661,1,513,581023,580516,0.0,867.0,1.0
group_10773,NC_004605,378,353,69.405,2,350,1408759,1408411,1.19e-33,140.0,0.9338624338624338
group_10825,NC_004605,282,282,99.291,1,282,1395606,1395325,2.32e-142,500.0,1.0
group_10830,NC_004605,138,138,99.275,1,138,466396,466260,1.54e-64,242.0,1.0
group_10838,NC_004605,114,114,94.737,1,114,292854,292966,4.28e-45,176.0,1.0
group_10839,NC_004605,346,343,95.335,4,346,224902,224562,2.69e-155,545.0,0.9913294797687862
group_10854,NC_004603,519,519,100.0,1,519,1495971,1496489,0.0,937.0,1.0
group_10858,NC_004605,1713,1713,98.599,1,1713,283422,285134,0.0,2982.0,1.0
group_10882,NC_004605,153,153,92.157,1,153,1597846,1597987,1.1e-60,228.0,1.0
group_10907,NC_004605,285,283,96.82,1,283,1455697,1455415,3.97e-133,471.0,0.9929824561403509
group_10908,NC_004603,165,165,95.758,1,165,397941,398105,4.780000000000001e-72,267.0,1.0
group_10918,NC_004605,513,514,97.86,1,513,946675,946162,0.0,875.0,1.0019493177387915
group_10929,NC_004603,101,95,97.895,7,101,1284222,1284316,2.3199999999999997e-41,163.0,0.9405940594059405
group_10932,NC_004605,6999,6999,100.0,1,6999,995196,988198,0.0,12623.0,1.0
group_10965,NC_004605,813,814,98.649,1,813,1501443,1500630,0.0,1416.0,1.001230012300123
group_10981,NC_004605,291,254,99.213,1,254,945575,945828,3.8e-127,450.0,0.872852233676976
group_10999,NC_004603,537,539,69.944,6,537,1127029,1126513,2.23e-57,219.0,1.0037243947858474
group_11004,NC_004603,993,993,85.398,1,993,1500517,1501509,0.0,1138.0,1.0
group_11007,NC_004605,432,433,98.845,1,432,1209229,1208797,0.0,755.0,1.0023148148148149
group_11008,NC_004603,4386,3700,87.486,1,3695,1627036,1630730,0.0,4568.0,0.84359325125399
group_11009,NC_004603,294,294,96.939,1,294,1679942,1680234,5.3399999999999997e-138,487.0,1.0
group_11016,NC_004603,1497,1497,97.862,1,1497,1397447,1398937,0.0,2557.0,1.0
group_11035,NC_004603,243,253,95.652,1,243,1883586,1883334,7.840000000000001e-116,412.0,1.0411522633744856
group_11068,NC_004605,1665,1347,97.476,319,1665,294274,292928,0.0,2277.0,0.809009009009009
group_11069,NC_004605,585,583,98.285,1,583,762321,762902,0.0,1003.0,0.9965811965811966
group_11074,NC_004605,17586,17586,97.362,1,17586,669556,687141,0.0,29623.0,1.0
group_11082,NC_004603,942,946,69.345,1,942,2531111,2530170,1.59e-106,384.0,1.0042462845010616
group_11093,NC_004603,4398,3720,97.043,1,3720,1627036,1630734,0.0,6228.0,0.8458390177353342
group_11096,NC_004605,1209,1209,98.346,1,1209,1102916,1101720,0.0,2097.0,1.0
group_11119,NC_004605,1728,1728,94.85,1,1728,423787,425514,0.0,2716.0,1.0
group_11153,NC_004605,1266,1266,100.0,1,1266,754909,756174,0.0,2284.0,1.0
group_1116,NC_004605,300,300,96.667,1,300,1417711,1417412,3.02e-141,497.0,1.0
group_11166,NC_004603,1260,1260,97.381,1,1260,1439002,1437743,0.0,2124.0,1.0
group_11198,NC_004603,654,654,93.119,1,654,1056492,1057145,0.0,991.0,1.0
group_112,NC_004603,477,477,99.581,1,477,480192,479717,0.0,848.0,1.0
group_11204,NC_004603,220,219,99.543,2,220,380863,380646,2.8e-108,388.0,0.9954545454545455
group_11207,NC_004605,519,519,96.532,1,519,1751788,1751282,0.0,862.0,1.0
group_11208,NC_004605,825,809,99.135,1,809,1752911,1752103,0.0,1428.0,0.9806060606060606
group_11211,NC_004603,285,285,96.491,1,285,392432,392716,3.97e-133,470.0,1.0
group_1133,NC_004605,642,641,93.292,1,641,1438822,1438183,0.0,959.0,0.9984423676012462
group_1134,NC_004605,489,482,89.419,1,482,1436755,1436274,0.0,640.0,0.9856850715746421
group_1155,NC_004603,492,496,69.758,1,492,2851887,2851402,1.91e-51,200.0,1.008130081300813
group_128,NC_004605,1083,1083,100.0,1,1083,1669969,1668887,0.0,1954.0,1.0
group_1316,NC_004605,2589,2589,93.434,1,2589,1441503,1444091,0.0,3903.0,1.0
group_1317,NC_004603,1452,1452,100.0,1,1452,2533545,2532094,0.0,2619.0,1.0
group_1350,NC_004603,384,384,96.094,1,384,2241337,2241720,1.1200000000000002e-179,626.0,1.0
group_1445,NC_004605,534,534,100.0,1,534,435391,435924,0.0,964.0,1.0
group_1452,NC_004603,210,210,95.238,1,210,2250897,2250689,1.79e-91,331.0,1.0
group_1455,NC_004605,1167,1179,83.206,1,1167,1436257,1435092,0.0,1212.0,1.0102827763496145
group_1466,NC_004603,174,174,97.701,1,174,2247340,2247513,2.98e-81,297.0,1.0
group_1550,NC_004603,210,210,90.952,1,210,2241735,2241944,4.5e-80,294.0,1.0
group_1600,NC_004603,810,810,99.877,1,810,377275,378083,0.0,1453.0,1.0
group_1629,NC_004603,795,793,89.155,1,793,383667,382878,0.0,1041.0,0.9974842767295597
group_1668,NC_004603,1416,1416,99.647,1,1416,221223,219810,0.0,2525.0,1.0
group_1681,NC_004603,495,462,74.026,34,495,2541367,2540909,1.68e-77,287.0,0.9333333333333333
group_1690,NC_004603,537,538,97.026,1,537,2535297,2534760,0.0,895.0,1.0018621973929236
group_17017,NC_004603,115,116,89.655,1,115,1906340,1906226,6.01e-37,149.0,1.008695652173913
group_1725,NC_004603,201,171,72.515,6,176,2241737,2241907,6.370000000000001e-21,97.8,0.8507462686567164
group_1733,NC_004603,813,813,98.893,1,813,1401853,1402662,0.0,1425.0,1.0
group_1761,NC_004603,1317,1320,76.364,1,1317,2540849,2539533,0.0,966.0,1.0022779043280183
group_1770,NC_004603,495,403,74.194,95,495,2535694,2535294,9.939999999999998e-68,253.0,0.8141414141414142
group_1803,NC_004605,219,219,99.087,1,219,1140943,1140725,2.78e-108,387.0,1.0
group_1809,NC_004603,759,762,78.346,1,759,2539519,2538764,2.2900000000000002e-179,626.0,1.0039525691699605
group_1830,NC_004603,213,217,74.654,1,213,1443670,1443458,1.15e-30,129.0,1.0187793427230047
group_1866,NC_004603,225,225,82.222,1,225,2537280,2537056,5.93e-60,226.0,1.0
group_1879,NC_004605,393,393,98.219,1,393,1421783,1421391,0.0,678.0,1.0
group_19,NC_004603,465,379,87.863,1,377,1659120,1658743,6.680000000000001e-133,471.0,0.8150537634408602
group_1928,NC_004605,357,357,100.0,1,357,435921,436277,0.0,645.0,1.0
group_1935,NC_004605,156,156,96.154,1,156,943054,942899,2.32e-69,257.0,1.0
group_1936,NC_004603,279,279,91.039,1,279,1928947,1929225,2.98e-109,391.0,1.0
group_1949,NC_004603,600,601,99.002,1,600,1446901,1447500,0.0,1050.0,1.0016666666666667
group_1951,NC_004603,1134,1110,91.982,27,1134,1485298,1486405,0.0,1596.0,0.9788359788359788
group_1987,NC_004605,1083,1083,98.061,1,1083,1662003,1663085,0.0,1859.0,1.0
group_2009,NC_004603,858,858,97.319,1,858,1794774,1795631,0.0,1444.0,1.0
group_202,NC_004603,803,803,98.257,1,803,480967,480176,0.0,1391.0,1.0
group_2035,NC_004605,234,234,100.0,1,234,1409008,1408775,4.1599999999999996e-119,423.0,1.0
group_2037,NC_004605,234,234,74.359,1,234,1409008,1408775,1.12e-37,152.0,1.0
group_2105,NC_004603,282,233,74.249,1,233,392432,392664,4.800000000000001e-37,150.0,0.8262411347517731
group_2127,NC_004603,138,130,98.462,1,130,1633165,1633294,3.4e-60,226.0,0.9420289855072463
group_2295,NC_004603,144,144,93.75,1,144,1673870,1673727,5.31e-58,220.0,1.0
group_2324,NC_004605,1458,1458,98.765,1,1458,765164,766615,0.0,2550.0,1.0
group_2363,NC_004605,157,157,99.363,1,157,1625053,1624897,7.15e-76,279.0,1.0
group_238,NC_004603,213,214,96.262,1,213,392126,392339,2.37e-96,347.0,1.0046948356807512
group_2411,NC_004603,615,570,66.14,16,569,1936733,1936172,4.3600000000000004e-29,126.0,0.926829268292683
group_2648,NC_004603,828,828,88.285,1,828,1675018,1674191,0.0,1139.0,1.0
group_270,NC_004603,906,879,92.605,1,878,1632235,1633112,0.0,1286.0,0.9701986754966887
group_2783,NC_004605,597,597,100.0,1,597,1426106,1425510,0.0,1077.0,1.0
group_2806,NC_004603,240,240,97.917,1,240,3164206,3164445,2.7e-115,411.0,1.0
group_2984,NC_004605,405,357,68.347,46,401,1432342,1431987,8.06e-30,128.0,0.8814814814814815
group_3051,NC_004603,525,519,90.559,7,525,1127028,1126513,0.0,714.0,0.9885714285714285
group_3053,NC_004603,393,367,91.008,27,393,1125154,1125520,5.23e-146,514.0,0.9338422391857506
group_3076,NC_004605,582,582,99.313,1,582,759566,760146,0.0,1029.0,1.0
group_3087,NC_004605,555,526,83.84,1,524,1391491,1390967,5.780000000000001e-160,560.0,0.9477477477477477
group_3135,NC_004603,750,759,72.2,1,750,2850838,2850125,1.63e-111,399.0,1.012
group_3179,NC_004603,936,942,73.673,1,936,202287,203222,2.33e-161,565.0,1.0064102564102564
group_3273,NC_004603,441,413,97.821,1,413,1667809,1668221,0.0,705.0,0.9365079365079365
group_3306,NC_004605,1530,1288,93.634,243,1530,1439297,1440572,0.0,1960.0,0.8418300653594771
group_33436,NC_004603,400,400,96.5,1,400,1631681,1632080,0.0,659.0,1.0
group_3344,NC_004603,1062,1031,77.401,4,1031,223540,222513,0.0,792.0,0.9708097928436912
group_3392,NC_004603,606,606,93.564,1,606,2250069,2250674,0.0,918.0,1.0
group_34343,NC_004603,438,438,98.858,1,438,1938132,1937695,0.0,768.0,1.0
group_34382,NC_004603,477,478,79.916,1,477,1930296,1929820,8.93e-119,423.0,1.0020964360587001
group_34768,NC_004603,285,285,94.737,1,285,1929656,1929372,4.53e-126,447.0,1.0
group_35164,NC_004603,136,112,92.857,25,136,1906337,1906226,2.7499999999999997e-42,167.0,0.8235294117647058
group_3524,NC_004605,1119,1119,100.0,1,1119,434276,435394,0.0,2019.0,1.0
group_3525,NC_004603,240,228,84.211,1,228,1125020,1124794,6.8e-66,246.0,0.95
group_35353,NC_004603,1662,1633,78.138,1,1633,1838070,1836438,0.0,1336.0,0.9825511432009627
group_35637,NC_004603,489,489,98.16,1,489,1930296,1929808,0.0,842.0,1.0
group_35639,NC_004603,546,546,94.872,1,546,1906186,1905641,0.0,859.0,1.0
group_35640,NC_004603,645,602,88.206,48,645,1946782,1946182,0.0,748.0,0.9333333333333333
group_35641,NC_004603,360,360,77.778,1,360,1908176,1907817,9.850000000000001e-79,289.0,1.0
group_35780,NC_004603,381,362,84.254,1,362,1913230,1912869,9.78e-111,397.0,0.9501312335958005
group_35863,NC_004603,285,285,92.982,1,285,1928666,1928950,1.48e-119,425.0,1.0
group_35864,NC_004603,279,279,89.964,1,279,1928947,1929225,1.88e-105,378.0,1.0
group_36188,NC_004603,414,414,94.444,1,414,1947999,1947586,0.0,644.0,1.0
group_36564,NC_004603,639,641,88.924,1,639,1928141,1927502,0.0,826.0,1.0031298904538342
group_36605,NC_004603,681,681,100.0,1,681,1916500,1915820,0.0,1229.0,1.0
group_36641,NC_004603,555,555,94.234,1,555,1928044,1927490,0.0,857.0,1.0
group_36785,NC_004603,468,469,74.414,1,468,1902733,1902266,2.51e-81,298.0,1.0021367521367521
group_36983,NC_004603,567,525,94.857,44,567,1922952,1922430,0.0,820.0,0.9259259259259259
group_3700,NC_004605,249,249,95.181,1,249,1413052,1412804,6.19e-111,396.0,1.0
group_37704,NC_004603,327,276,89.855,52,326,1912531,1912256,1.16e-102,369.0,0.8440366972477065
group_3809,NC_004603,843,842,98.812,1,841,1914153,1913312,0.0,1471.0,0.9988137603795967
group_3816,NC_004605,1038,1038,81.214,1,1038,392292,393329,0.0,994.0,1.0
group_382,NC_004603,1470,1470,99.184,1,1470,1042470,1043930,0.0,2597.0,1.0
group_38406,NC_004603,555,555,98.559,1,555,1928044,1927490,0.0,966.0,1.0
group_38525,NC_004603,489,471,78.769,24,489,1905653,1905187,1.1899999999999998e-104,376.0,0.9631901840490797
group_38683,NC_004603,477,477,90.985,1,477,1919866,1919390,0.0,667.0,1.0
group_38739,NC_004603,615,565,90.265,1,565,1920542,1919978,0.0,780.0,0.9186991869918699
group_38742,NC_004603,390,390,88.462,1,390,1919270,1918881,3.2699999999999998e-142,501.0,1.0
group_38963,NC_004603,459,450,90.0,1,449,1899911,1900360,1.27e-173,606.0,0.9803921568627451
group_3908,NC_004603,984,985,86.294,2,984,649061,650043,0.0,1163.0,1.0010162601626016
group_39150,NC_004603,546,546,93.04,1,546,1906186,1905641,0.0,814.0,1.0
group_3916,NC_004603,825,809,95.426,1,809,398559,399367,0.0,1293.0,0.9806060606060606
group_3917,NC_004603,1248,1248,93.99,1,1247,397840,396593,0.0,1910.0,1.0
group_39466,NC_004603,327,275,89.818,52,325,1920408,1920134,4.04e-102,367.0,0.8409785932721713
group_39914,NC_004603,639,639,81.534,1,639,1941237,1940599,2.33e-178,621.0,1.0
group_39997,NC_004603,1071,1071,98.226,1,1071,1918755,1917688,0.0,1845.0,1.0
group_40337,NC_004603,828,806,70.347,1,803,398559,399361,1.58e-99,360.0,0.9734299516908212
group_4084,NC_004605,210,210,96.667,1,210,1388311,1388102,2.33e-96,348.0,1.0
group_40846,NC_004603,375,375,98.4,1,375,1931936,1931562,0.0,650.0,1.0
group_40959,NC_004603,384,384,99.219,1,384,1922810,1922430,0.0,678.0,1.0
group_40965,NC_004603,312,312,98.397,1,312,1914619,1914308,2.95e-154,541.0,1.0
group_40969,NC_004603,435,413,90.073,25,435,1928607,1928198,2.3200000000000002e-157,552.0,0.9494252873563218
